"Time stamp","System power generated | (kW)","Sun position time | (hour)","Irradiance DHI from weather file | (W/m2)"
"Jul 22, 02:00 pm",2.31496,14,155
"Jul 22, 03:00 pm",2.23075,15,142
"Jul 22, 04:00 pm",2.03643,16,133
"Jul 22, 05:00 pm",1.66873,17,107
"Jul 22, 06:00 pm",1.15924,18,58
"Jul 22, 07:00 pm",-0.0034239,19,0
"Jul 22, 08:00 pm",-0.0034239,20,0
"Jul 22, 09:00 pm",-0.0034239,21,0
"Jul 22, 10:00 pm",-0.0034239,22,0
"Jul 22, 11:00 pm",-0.0034239,23,0
"Jul 23, 12:00 am",-0.0034239,0,0
"Jul 23, 01:00 am",-0.0034239,1,0
"Jul 23, 02:00 am",-0.0034239,2,0
"Jul 23, 03:00 am",-0.0034239,3,0
"Jul 23, 04:00 am",-0.0034239,4,0
"Jul 23, 05:00 am",0.0941162,5,66
"Jul 23, 06:00 am",1.68787,6,118
"Jul 23, 07:00 am",2.09996,7,148
"Jul 23, 08:00 am",2.31137,8,161
"Jul 23, 09:00 am",2.38185,9,164
"Jul 23, 10:00 am",2.36208,10,164
"Jul 23, 11:00 am",2.32686,11,167
"Jul 23, 12:00 pm",2.27218,12,184
"Jul 23, 01:00 pm",0.294935,13,129
"Jul 23, 02:00 pm",0.151857,14,72
"Jul 23, 03:00 pm",0.247908,15,114
"Jul 23, 04:00 pm",0.571367,16,196
"Jul 23, 05:00 pm",0.0843961,17,51
"Jul 23, 06:00 pm",0.039385,18,31
"Jul 23, 07:00 pm",-0.0034239,19,0
"Jul 23, 08:00 pm",-0.0034239,20,0
"Jul 23, 09:00 pm",-0.0034239,21,0
"Jul 23, 10:00 pm",-0.0034239,22,0
"Jul 23, 11:00 pm",-0.0034239,23,0
"Jul 24, 12:00 am",-0.0034239,0,0
"Jul 24, 01:00 am",-0.0034239,1,0
"Jul 24, 02:00 am",-0.0034239,2,0
"Jul 24, 03:00 am",-0.0034239,3,0
"Jul 24, 04:00 am",-0.0034239,4,0
"Jul 24, 05:00 am",0.330081,5,75
"Jul 24, 06:00 am",0.651149,6,122
"Jul 24, 07:00 am",0.772536,7,210
"Jul 24, 08:00 am",0.663282,8,245
"Jul 24, 09:00 am",0.420426,9,185
"Jul 24, 10:00 am",0.64536,10,261
"Jul 24, 11:00 am",0.629315,11,253
"Jul 24, 12:00 pm",0.888246,12,341
"Jul 24, 01:00 pm",1.12385,13,376
"Jul 24, 02:00 pm",2.40661,14,155
"Jul 24, 03:00 pm",2.40721,15,120
"Jul 24, 04:00 pm",1.05618,16,220
"Jul 24, 05:00 pm",1.36682,17,128
"Jul 24, 06:00 pm",0.338407,18,59
"Jul 24, 07:00 pm",-0.0034239,19,0
"Jul 24, 08:00 pm",-0.0034239,20,0
"Jul 24, 09:00 pm",-0.0034239,21,0
"Jul 24, 10:00 pm",-0.0034239,22,0
"Jul 24, 11:00 pm",-0.0034239,23,0
"Jul 25, 12:00 am",-0.0034239,0,0
"Jul 25, 01:00 am",-0.0034239,1,0
"Jul 25, 02:00 am",-0.0034239,2,0
"Jul 25, 03:00 am",-0.0034239,3,0
"Jul 25, 04:00 am",-0.0034239,4,0
"Jul 25, 05:00 am",0.655254,5,65
"Jul 25, 06:00 am",1.87567,6,100
"Jul 25, 07:00 am",1.62296,7,219
"Jul 25, 08:00 am",2.43878,8,149
"Jul 25, 09:00 am",2.05933,9,299
"Jul 25, 10:00 am",2.47786,10,195
"Jul 25, 11:00 am",1.54022,11,430
"Jul 25, 12:00 pm",1.99084,12,394
"Jul 25, 01:00 pm",2.44031,13,185
"Jul 25, 02:00 pm",0.437646,14,184
"Jul 25, 03:00 pm",1.82148,15,245
"Jul 25, 04:00 pm",2.12201,16,115
"Jul 25, 05:00 pm",1.89389,17,82
"Jul 25, 06:00 pm",1.16014,18,55
"Jul 25, 07:00 pm",-0.0034239,19,0
"Jul 25, 08:00 pm",-0.0034239,20,0
"Jul 25, 09:00 pm",-0.0034239,21,0
"Jul 25, 10:00 pm",-0.0034239,22,0
"Jul 25, 11:00 pm",-0.0034239,23,0
"Jul 26, 12:00 am",-0.0034239,0,0
"Jul 26, 01:00 am",-0.0034239,1,0
"Jul 26, 02:00 am",-0.0034239,2,0
"Jul 26, 03:00 am",-0.0034239,3,0
"Jul 26, 04:00 am",-0.0034239,4,0
"Jul 26, 05:00 am",0.811402,5,56
"Jul 26, 06:00 am",1.64827,6,137
"Jul 26, 07:00 am",1.12771,7,227
"Jul 26, 08:00 am",2.21652,8,196
"Jul 26, 09:00 am",1.92851,9,327
"Jul 26, 10:00 am",2.21419,10,286
"Jul 26, 11:00 am",1.67114,11,424
"Jul 26, 12:00 pm",1.57405,12,427
"Jul 26, 01:00 pm",2.06943,13,321
"Jul 26, 02:00 pm",1.00861,14,335
"Jul 26, 03:00 pm",0.268654,15,124
"Jul 26, 04:00 pm",1.62693,16,191
"Jul 26, 05:00 pm",1.83274,17,92
"Jul 26, 06:00 pm",1.1525,18,53
"Jul 26, 07:00 pm",-0.0034239,19,0
"Jul 26, 08:00 pm",-0.0034239,20,0
"Jul 26, 09:00 pm",-0.0034239,21,0
"Jul 26, 10:00 pm",-0.0034239,22,0
"Jul 26, 11:00 pm",-0.0034239,23,0
"Jul 27, 12:00 am",-0.0034239,0,0
"Jul 27, 01:00 am",-0.0034239,1,0
"Jul 27, 02:00 am",-0.0034239,2,0
"Jul 27, 03:00 am",-0.0034239,3,0
"Jul 27, 04:00 am",-0.0034239,4,0
"Jul 27, 05:00 am",0.642732,5,63
"Jul 27, 06:00 am",1.85205,6,100
"Jul 27, 07:00 am",2.24429,7,122
"Jul 27, 08:00 am",2.37689,8,160
"Jul 27, 09:00 am",2.2229,9,262
"Jul 27, 10:00 am",2.52464,10,179
"Jul 27, 11:00 am",2.54723,11,158
"Jul 27, 12:00 pm",2.53005,12,158
"Jul 27, 01:00 pm",2.48921,13,154
"Jul 27, 02:00 pm",2.43949,14,141
"Jul 27, 03:00 pm",2.31513,15,136
"Jul 27, 04:00 pm",2.16929,16,111
"Jul 27, 05:00 pm",1.8491,17,90
"Jul 27, 06:00 pm",0.972952,18,55
"Jul 27, 07:00 pm",-0.0034239,19,0
"Jul 27, 08:00 pm",-0.0034239,20,0
"Jul 27, 09:00 pm",-0.0034239,21,0
"Jul 27, 10:00 pm",-0.0034239,22,0
"Jul 27, 11:00 pm",-0.0034239,23,0
"Jul 28, 12:00 am",-0.0034239,0,0
"Jul 28, 01:00 am",-0.0034239,1,0
"Jul 28, 02:00 am",-0.0034239,2,0
"Jul 28, 03:00 am",-0.0034239,3,0
"Jul 28, 04:00 am",-0.0034239,4,0
"Jul 28, 05:00 am",-0.0034239,5,11
"Jul 28, 06:00 am",1.71165,6,140
"Jul 28, 07:00 am",0.171369,7,90
"Jul 28, 08:00 am",0.440143,8,190
"Jul 28, 09:00 am",0.363935,9,167
"Jul 28, 10:00 am",1.59337,10,405
"Jul 28, 11:00 am",1.37515,11,423
"Jul 28, 12:00 pm",0.727209,12,290
"Jul 28, 01:00 pm",0.186792,13,83
"Jul 28, 02:00 pm",0.972644,14,323
"Jul 28, 03:00 pm",0.127115,15,62
"Jul 28, 04:00 pm",0.332824,16,148
"Jul 28, 05:00 pm",0.0887584,17,52
"Jul 28, 06:00 pm",0.0460612,18,34
"Jul 28, 07:00 pm",-0.0034239,19,0
"Jul 28, 08:00 pm",-0.0034239,20,0
"Jul 28, 09:00 pm",-0.0034239,21,0
"Jul 28, 10:00 pm",-0.0034239,22,0
"Jul 28, 11:00 pm",-0.0034239,23,0
"Jul 29, 12:00 am",-0.0034239,0,0
"Jul 29, 01:00 am",-0.0034239,1,0
"Jul 29, 02:00 am",-0.0034239,2,0
"Jul 29, 03:00 am",-0.0034239,3,0
"Jul 29, 04:00 am",-0.0034239,4,0
"Jul 29, 05:00 am",0.0173465,5,36
"Jul 29, 06:00 am",0.0331465,6,31
"Jul 29, 07:00 am",1.35892,7,227
"Jul 29, 08:00 am",1.1518,8,291
"Jul 29, 09:00 am",0.409199,9,178
"Jul 29, 10:00 am",0.282939,10,125
"Jul 29, 11:00 am",0.265403,11,114
"Jul 29, 12:00 pm",0.202788,12,87
"Jul 29, 01:00 pm",0.183167,13,79
"Jul 29, 02:00 pm",0.284573,14,120
"Jul 29, 03:00 pm",0.277935,15,122
"Jul 29, 04:00 pm",0.376768,16,158
"Jul 29, 05:00 pm",0.0881349,17,51
"Jul 29, 06:00 pm",0.141877,18,47
"Jul 29, 07:00 pm",-0.0034239,19,0
"Jul 29, 08:00 pm",-0.0034239,20,0
"Jul 29, 09:00 pm",-0.0034239,21,0
"Jul 29, 10:00 pm",-0.0034239,22,0
"Jul 29, 11:00 pm",-0.0034239,23,0
"Jul 30, 12:00 am",-0.0034239,0,0
"Jul 30, 01:00 am",-0.0034239,1,0
"Jul 30, 02:00 am",-0.0034239,2,0
"Jul 30, 03:00 am",-0.0034239,3,0
"Jul 30, 04:00 am",-0.0034239,4,0
"Jul 30, 05:00 am",-0.0034239,5,52
"Jul 30, 06:00 am",1.67348,6,144
"Jul 30, 07:00 am",1.59894,7,221
"Jul 30, 08:00 am",0.87514,8,272
"Jul 30, 09:00 am",2.1198,9,309
"Jul 30, 10:00 am",1.73845,10,401
"Jul 30, 11:00 am",2.44871,11,284
"Jul 30, 12:00 pm",1.87084,12,411
"Jul 30, 01:00 pm",2.25863,13,305
"Jul 30, 02:00 pm",2.50627,14,180
"Jul 30, 03:00 pm",2.19057,15,200
"Jul 30, 04:00 pm",2.05929,16,146
"Jul 30, 05:00 pm",0.785997,17,132
"Jul 30, 06:00 pm",0.46329,18,54
"Jul 30, 07:00 pm",-0.0034239,19,0
"Jul 30, 08:00 pm",-0.0034239,20,0
"Jul 30, 09:00 pm",-0.0034239,21,0
"Jul 30, 10:00 pm",-0.0034239,22,0
"Jul 30, 11:00 pm",-0.0034239,23,0
"Jul 31, 12:00 am",-0.0034239,0,0
"Jul 31, 01:00 am",-0.0034239,1,0
"Jul 31, 02:00 am",-0.0034239,2,0
"Jul 31, 03:00 am",-0.0034239,3,0
"Jul 31, 04:00 am",-0.0034239,4,0
"Jul 31, 05:00 am",-0.0034239,5,49
"Jul 31, 06:00 am",0.865049,6,123
"Jul 31, 07:00 am",1.45065,7,224
"Jul 31, 08:00 am",1.9358,8,268
"Jul 31, 09:00 am",2.11358,9,305
"Jul 31, 10:00 am",1.77667,10,396
"Jul 31, 11:00 am",1.38116,11,417
"Jul 31, 12:00 pm",1.65469,12,421
"Jul 31, 01:00 pm",2.32341,13,253
"Jul 31, 02:00 pm",2.34408,14,179
"Jul 31, 03:00 pm",2.07367,15,195
"Jul 31, 04:00 pm",1.92428,16,153
"Jul 31, 05:00 pm",1.98148,17,75
"Jul 31, 06:00 pm",1.23145,18,46
"Jul 31, 07:00 pm",-0.0034239,19,0
"Jul 31, 08:00 pm",-0.0034239,20,0
"Jul 31, 09:00 pm",-0.0034239,21,0
"Jul 31, 10:00 pm",-0.0034239,22,0
"Jul 31, 11:00 pm",-0.0034239,23,0
"Aug 1, 12:00 am",-0.0034239,0,0
"Aug 1, 01:00 am",-0.0034239,1,0
"Aug 1, 02:00 am",-0.0034239,2,0
"Aug 1, 03:00 am",-0.0034239,3,0
"Aug 1, 04:00 am",-0.0034239,4,0
"Aug 1, 05:00 am",-0.0034239,5,64
"Aug 1, 06:00 am",1.62222,6,142
"Aug 1, 07:00 am",2.34361,7,117
"Aug 1, 08:00 am",2.56257,8,133
"Aug 1, 09:00 am",1.11659,9,336
"Aug 1, 10:00 am",0.43217,10,186
"Aug 1, 11:00 am",0.743603,11,297
"Aug 1, 12:00 pm",0.335367,12,142
"Aug 1, 01:00 pm",2.06844,13,332
"Aug 1, 02:00 pm",2.49399,14,140
"Aug 1, 03:00 pm",2.26173,15,165
"Aug 1, 04:00 pm",2.07918,16,129
"Aug 1, 05:00 pm",0.224312,17,102
"Aug 1, 06:00 pm",0.0131952,18,16
"Aug 1, 07:00 pm",-0.0034239,19,0
"Aug 1, 08:00 pm",-0.0034239,20,0
"Aug 1, 09:00 pm",-0.0034239,21,0
"Aug 1, 10:00 pm",-0.0034239,22,0
"Aug 1, 11:00 pm",-0.0034239,23,0
"Aug 2, 12:00 am",-0.0034239,0,0
"Aug 2, 01:00 am",-0.0034239,1,0
"Aug 2, 02:00 am",-0.0034239,2,0
"Aug 2, 03:00 am",-0.0034239,3,0
"Aug 2, 04:00 am",-0.0034239,4,0
"Aug 2, 05:00 am",-0.0034239,5,13
"Aug 2, 06:00 am",0.277413,6,73
"Aug 2, 07:00 am",0.0542694,7,39
"Aug 2, 08:00 am",0.825362,8,265
"Aug 2, 09:00 am",0.250254,9,119
"Aug 2, 10:00 am",0.16342,10,78
"Aug 2, 11:00 am",0.628536,11,256
"Aug 2, 12:00 pm",0.451576,12,186
"Aug 2, 01:00 pm",0.390704,13,162
"Aug 2, 02:00 pm",0.351622,14,149
"Aug 2, 03:00 pm",0.172711,15,81
"Aug 2, 04:00 pm",0.0997324,16,53
"Aug 2, 05:00 pm",0.0870268,17,51
"Aug 2, 06:00 pm",0.134401,18,42
"Aug 2, 07:00 pm",-0.0034239,19,0
"Aug 2, 08:00 pm",-0.0034239,20,0
"Aug 2, 09:00 pm",-0.0034239,21,0
"Aug 2, 10:00 pm",-0.0034239,22,0
"Aug 2, 11:00 pm",-0.0034239,23,0
"Aug 3, 12:00 am",-0.0034239,0,0
"Aug 3, 01:00 am",-0.0034239,1,0
"Aug 3, 02:00 am",-0.0034239,2,0
"Aug 3, 03:00 am",-0.0034239,3,0
"Aug 3, 04:00 am",-0.0034239,4,0
"Aug 3, 05:00 am",-0.0034239,5,54
"Aug 3, 06:00 am",1.79162,6,100
"Aug 3, 07:00 am",1.09712,7,211
"Aug 3, 08:00 am",2.36721,8,196
"Aug 3, 09:00 am",2.03214,9,320
"Aug 3, 10:00 am",1.7141,10,397
"Aug 3, 11:00 am",0.542028,11,218
"Aug 3, 12:00 pm",1.03316,12,367
"Aug 3, 01:00 pm",1.30315,13,386
"Aug 3, 02:00 pm",2.54938,14,141
"Aug 3, 03:00 pm",2.49468,15,114
"Aug 3, 04:00 pm",1.88835,16,158
"Aug 3, 05:00 pm",1.80127,17,90
"Aug 3, 06:00 pm",0.695728,18,48
"Aug 3, 07:00 pm",-0.0034239,19,0
"Aug 3, 08:00 pm",-0.0034239,20,0
"Aug 3, 09:00 pm",-0.0034239,21,0
"Aug 3, 10:00 pm",-0.0034239,22,0
"Aug 3, 11:00 pm",-0.0034239,23,0
"Aug 4, 12:00 am",-0.0034239,0,0
"Aug 4, 01:00 am",-0.0034239,1,0
"Aug 4, 02:00 am",-0.0034239,2,0
"Aug 4, 03:00 am",-0.0034239,3,0
"Aug 4, 04:00 am",-0.0034239,4,0
"Aug 4, 05:00 am",-0.0034239,5,59
"Aug 4, 06:00 am",1.69483,6,127
"Aug 4, 07:00 am",1.62425,7,212
"Aug 4, 08:00 am",1.52912,8,293
"Aug 4, 09:00 am",1.11066,9,330
"Aug 4, 10:00 am",0.627426,10,254
"Aug 4, 11:00 am",0.450701,11,185
"Aug 4, 12:00 pm",2.06309,12,370
"Aug 4, 01:00 pm",2.1093,13,329
"Aug 4, 02:00 pm",1.66939,14,336
"Aug 4, 03:00 pm",1.69374,15,258
"Aug 4, 04:00 pm",0.275548,16,128
"Aug 4, 05:00 pm",0.35119,17,111
"Aug 4, 06:00 pm",0.10667,18,39
"Aug 4, 07:00 pm",-0.0034239,19,0
"Aug 4, 08:00 pm",-0.0034239,20,0
"Aug 4, 09:00 pm",-0.0034239,21,0
"Aug 4, 10:00 pm",-0.0034239,22,0
"Aug 4, 11:00 pm",-0.0034239,23,0
"Aug 5, 12:00 am",-0.0034239,0,0
"Aug 5, 01:00 am",-0.0034239,1,0
"Aug 5, 02:00 am",-0.0034239,2,0
"Aug 5, 03:00 am",-0.0034239,3,0
"Aug 5, 04:00 am",-0.0034239,4,0
"Aug 5, 05:00 am",-0.0034239,5,9
"Aug 5, 06:00 am",0.0636103,6,38
"Aug 5, 07:00 am",0.172076,7,86
"Aug 5, 08:00 am",0.230472,8,112
"Aug 5, 09:00 am",0.444826,9,189
"Aug 5, 10:00 am",0.911468,10,334
"Aug 5, 11:00 am",1.22547,11,392
"Aug 5, 12:00 pm",0.864814,12,323
"Aug 5, 01:00 pm",0.466095,13,185
"Aug 5, 02:00 pm",0.591752,14,232
"Aug 5, 03:00 pm",0.235012,15,105
"Aug 5, 04:00 pm",0.221009,16,105
"Aug 5, 05:00 pm",0.0753102,17,45
"Aug 5, 06:00 pm",-0.0034239,18,7
"Aug 5, 07:00 pm",-0.0034239,19,0
"Aug 5, 08:00 pm",-0.0034239,20,0
"Aug 5, 09:00 pm",-0.0034239,21,0
"Aug 5, 10:00 pm",-0.0034239,22,0
"Aug 5, 11:00 pm",-0.0034239,23,0
"Aug 6, 12:00 am",-0.0034239,0,0
"Aug 6, 01:00 am",-0.0034239,1,0
"Aug 6, 02:00 am",-0.0034239,2,0
"Aug 6, 03:00 am",-0.0034239,3,0
"Aug 6, 04:00 am",-0.0034239,4,0
"Aug 6, 05:00 am",-0.0034239,5,56
"Aug 6, 06:00 am",1.71123,6,101
"Aug 6, 07:00 am",2.28798,7,132
"Aug 6, 08:00 am",2.48024,8,157
"Aug 6, 09:00 am",2.39718,9,233
"Aug 6, 10:00 am",2.30121,10,304
"Aug 6, 11:00 am",2.62202,11,198
"Aug 6, 12:00 pm",2.46798,12,250
"Aug 6, 01:00 pm",2.30763,13,267
"Aug 6, 02:00 pm",2.26108,14,227
"Aug 6, 03:00 pm",2.25138,15,166
"Aug 6, 04:00 pm",1.88467,16,151
"Aug 6, 05:00 pm",1.69791,17,93
"Aug 6, 06:00 pm",0.849579,18,42
"Aug 6, 07:00 pm",-0.0034239,19,0
"Aug 6, 08:00 pm",-0.0034239,20,0
"Aug 6, 09:00 pm",-0.0034239,21,0
"Aug 6, 10:00 pm",-0.0034239,22,0
"Aug 6, 11:00 pm",-0.0034239,23,0
"Aug 7, 12:00 am",-0.0034239,0,0
"Aug 7, 01:00 am",-0.0034239,1,0
"Aug 7, 02:00 am",-0.0034239,2,0
"Aug 7, 03:00 am",-0.0034239,3,0
"Aug 7, 04:00 am",-0.0034239,4,0
"Aug 7, 05:00 am",-0.0034239,5,51
"Aug 7, 06:00 am",1.85048,6,87
"Aug 7, 07:00 am",2.26732,7,115
"Aug 7, 08:00 am",2.49846,8,115
"Aug 7, 09:00 am",2.51417,9,141
"Aug 7, 10:00 am",2.50097,10,185
"Aug 7, 11:00 am",2.57549,11,141
"Aug 7, 12:00 pm",2.56384,12,140
"Aug 7, 01:00 pm",2.52754,13,130
"Aug 7, 02:00 pm",2.45119,14,133
"Aug 7, 03:00 pm",2.36945,15,114
"Aug 7, 04:00 pm",2.15026,16,105
"Aug 7, 05:00 pm",1.86107,17,77
"Aug 7, 06:00 pm",0.998621,18,39
"Aug 7, 07:00 pm",-0.0034239,19,0
"Aug 7, 08:00 pm",-0.0034239,20,0
"Aug 7, 09:00 pm",-0.0034239,21,0
"Aug 7, 10:00 pm",-0.0034239,22,0
"Aug 7, 11:00 pm",-0.0034239,23,0
"Aug 8, 12:00 am",-0.0034239,0,0
"Aug 8, 01:00 am",-0.0034239,1,0
"Aug 8, 02:00 am",-0.0034239,2,0
"Aug 8, 03:00 am",-0.0034239,3,0
"Aug 8, 04:00 am",-0.0034239,4,0
"Aug 8, 05:00 am",-0.0034239,5,53
"Aug 8, 06:00 am",0.770745,6,102
"Aug 8, 07:00 am",0.635483,7,176
"Aug 8, 08:00 am",1.21062,8,283
"Aug 8, 09:00 am",1.06779,9,322
"Aug 8, 10:00 am",0.248874,10,113
"Aug 8, 11:00 am",0.493793,11,201
"Aug 8, 12:00 pm",0.329126,12,136
"Aug 8, 01:00 pm",1.89225,13,363
"Aug 8, 02:00 pm",1.09492,14,328
"Aug 8, 03:00 pm",1.20684,15,276
"Aug 8, 04:00 pm",0.95871,16,198
"Aug 8, 05:00 pm",0.94835,17,116
"Aug 8, 06:00 pm",0.72427,18,40
"Aug 8, 07:00 pm",-0.0034239,19,0
"Aug 8, 08:00 pm",-0.0034239,20,0
"Aug 8, 09:00 pm",-0.0034239,21,0
"Aug 8, 10:00 pm",-0.0034239,22,0
"Aug 8, 11:00 pm",-0.0034239,23,0
"Aug 9, 12:00 am",-0.0034239,0,0
"Aug 9, 01:00 am",-0.0034239,1,0
"Aug 9, 02:00 am",-0.0034239,2,0
"Aug 9, 03:00 am",-0.0034239,3,0
"Aug 9, 04:00 am",-0.0034239,4,0
"Aug 9, 05:00 am",-0.0034239,5,50
"Aug 9, 06:00 am",1.76869,6,88
"Aug 9, 07:00 am",2.22649,7,121
"Aug 9, 08:00 am",2.4845,8,126
"Aug 9, 09:00 am",2.50229,9,141
"Aug 9, 10:00 am",2.48706,10,147
"Aug 9, 11:00 am",2.53324,11,122
"Aug 9, 12:00 pm",2.51277,12,140
"Aug 9, 01:00 pm",2.46294,13,153
"Aug 9, 02:00 pm",2.3991,14,139
"Aug 9, 03:00 pm",2.32017,15,118
"Aug 9, 04:00 pm",2.08136,16,116
"Aug 9, 05:00 pm",1.80727,17,79
"Aug 9, 06:00 pm",0.652929,18,39
"Aug 9, 07:00 pm",-0.0034239,19,0
"Aug 9, 08:00 pm",-0.0034239,20,0
"Aug 9, 09:00 pm",-0.0034239,21,0
"Aug 9, 10:00 pm",-0.0034239,22,0
"Aug 9, 11:00 pm",-0.0034239,23,0
"Aug 10, 12:00 am",-0.0034239,0,0
"Aug 10, 01:00 am",-0.0034239,1,0
"Aug 10, 02:00 am",-0.0034239,2,0
"Aug 10, 03:00 am",-0.0034239,3,0
"Aug 10, 04:00 am",-0.0034239,4,0
"Aug 10, 05:00 am",-0.0034239,5,50
"Aug 10, 06:00 am",1.78699,6,86
"Aug 10, 07:00 am",1.94428,7,165
"Aug 10, 08:00 am",2.3299,8,169
"Aug 10, 09:00 am",2.58485,9,141
"Aug 10, 10:00 am",2.60589,10,154
"Aug 10, 11:00 am",2.57391,11,140
"Aug 10, 12:00 pm",2.4952,12,164
"Aug 10, 01:00 pm",2.23638,13,258
"Aug 10, 02:00 pm",2.05825,14,254
"Aug 10, 03:00 pm",1.0919,15,271
"Aug 10, 04:00 pm",0.642012,16,185
"Aug 10, 05:00 pm",1.25277,17,105
"Aug 10, 06:00 pm",0.686725,18,37
"Aug 10, 07:00 pm",-0.0034239,19,0
"Aug 10, 08:00 pm",-0.0034239,20,0
"Aug 10, 09:00 pm",-0.0034239,21,0
"Aug 10, 10:00 pm",-0.0034239,22,0
"Aug 10, 11:00 pm",-0.0034239,23,0
"Aug 11, 12:00 am",-0.0034239,0,0
"Aug 11, 01:00 am",-0.0034239,1,0
"Aug 11, 02:00 am",-0.0034239,2,0
"Aug 11, 03:00 am",-0.0034239,3,0
"Aug 11, 04:00 am",-0.0034239,4,0
"Aug 11, 05:00 am",-0.0034239,5,22
"Aug 11, 06:00 am",0.0690981,6,36
"Aug 11, 07:00 am",1.21736,7,207
"Aug 11, 08:00 am",1.32038,8,284
"Aug 11, 09:00 am",1.95759,9,311
"Aug 11, 10:00 am",1.7579,10,381
"Aug 11, 11:00 am",1.89987,11,392
"Aug 11, 12:00 pm",0.901782,12,336
"Aug 11, 01:00 pm",1.26075,13,376
"Aug 11, 02:00 pm",0.732686,14,276
"Aug 11, 03:00 pm",0.782114,15,249
"Aug 11, 04:00 pm",0.340429,16,147
"Aug 11, 05:00 pm",0.104092,17,61
"Aug 11, 06:00 pm",0.227945,18,33
"Aug 11, 07:00 pm",-0.0034239,19,0
"Aug 11, 08:00 pm",-0.0034239,20,0
"Aug 11, 09:00 pm",-0.0034239,21,0
"Aug 11, 10:00 pm",-0.0034239,22,0
"Aug 11, 11:00 pm",-0.0034239,23,0
"Aug 12, 12:00 am",-0.0034239,0,0
"Aug 12, 01:00 am",-0.0034239,1,0
"Aug 12, 02:00 am",-0.0034239,2,0
"Aug 12, 03:00 am",-0.0034239,3,0
"Aug 12, 04:00 am",-0.0034239,4,0
"Aug 12, 05:00 am",-0.0034239,5,12
"Aug 12, 06:00 am",0.0506449,6,32
"Aug 12, 07:00 am",0.0620471,7,44
"Aug 12, 08:00 am",0.603813,8,220
"Aug 12, 09:00 am",0.129827,9,68
"Aug 12, 10:00 am",1.19708,10,370
"Aug 12, 11:00 am",1.69877,11,407
"Aug 12, 12:00 pm",0.696093,12,273
"Aug 12, 01:00 pm",0.170586,13,76
"Aug 12, 02:00 pm",2.13537,14,244
"Aug 12, 03:00 pm",0.67057,15,231
"Aug 12, 04:00 pm",0.274636,16,126
"Aug 12, 05:00 pm",0.386394,17,103
"Aug 12, 06:00 pm",0.121227,18,27
"Aug 12, 07:00 pm",-0.0034239,19,0
"Aug 12, 08:00 pm",-0.0034239,20,0
"Aug 12, 09:00 pm",-0.0034239,21,0
"Aug 12, 10:00 pm",-0.0034239,22,0
"Aug 12, 11:00 pm",-0.0034239,23,0
"Aug 13, 12:00 am",-0.0034239,0,0
"Aug 13, 01:00 am",-0.0034239,1,0
"Aug 13, 02:00 am",-0.0034239,2,0
"Aug 13, 03:00 am",-0.0034239,3,0
"Aug 13, 04:00 am",-0.0034239,4,0
"Aug 13, 05:00 am",-0.0034239,5,43
"Aug 13, 06:00 am",1.45312,6,98
"Aug 13, 07:00 am",2.05279,7,144
"Aug 13, 08:00 am",2.47203,8,130
"Aug 13, 09:00 am",2.54315,9,147
"Aug 13, 10:00 am",2.55037,10,168
"Aug 13, 11:00 am",2.00554,11,362
"Aug 13, 12:00 pm",2.36956,12,239
"Aug 13, 01:00 pm",2.42372,13,181
"Aug 13, 02:00 pm",2.33833,14,180
"Aug 13, 03:00 pm",2.2973,15,140
"Aug 13, 04:00 pm",2.1207,16,114
"Aug 13, 05:00 pm",1.82418,17,73
"Aug 13, 06:00 pm",0.577842,18,32
"Aug 13, 07:00 pm",-0.0034239,19,0
"Aug 13, 08:00 pm",-0.0034239,20,0
"Aug 13, 09:00 pm",-0.0034239,21,0
"Aug 13, 10:00 pm",-0.0034239,22,0
"Aug 13, 11:00 pm",-0.0034239,23,0
"Aug 14, 12:00 am",-0.0034239,0,0
"Aug 14, 01:00 am",-0.0034239,1,0
"Aug 14, 02:00 am",-0.0034239,2,0
"Aug 14, 03:00 am",-0.0034239,3,0
"Aug 14, 04:00 am",-0.0034239,4,0
"Aug 14, 05:00 am",-0.0034239,5,45
"Aug 14, 06:00 am",1.44451,6,96
"Aug 14, 07:00 am",1.68075,7,194
"Aug 14, 08:00 am",2.37557,8,167
"Aug 14, 09:00 am",1.59769,9,341
"Aug 14, 10:00 am",2.29881,10,297
"Aug 14, 11:00 am",1.55834,11,407
"Aug 14, 12:00 pm",0.696681,12,275
"Aug 14, 01:00 pm",1.20032,13,366
"Aug 14, 02:00 pm",1.63203,14,320
"Aug 14, 03:00 pm",0.386587,15,168
"Aug 14, 04:00 pm",0.135468,16,71
"Aug 14, 05:00 pm",0.0877582,17,53
"Aug 14, 06:00 pm",0.0178074,18,19
"Aug 14, 07:00 pm",-0.0034239,19,0
"Aug 14, 08:00 pm",-0.0034239,20,0
"Aug 14, 09:00 pm",-0.0034239,21,0
"Aug 14, 10:00 pm",-0.0034239,22,0
"Aug 14, 11:00 pm",-0.0034239,23,0
"Aug 15, 12:00 am",-0.0034239,0,0
"Aug 15, 01:00 am",-0.0034239,1,0
"Aug 15, 02:00 am",-0.0034239,2,0
"Aug 15, 03:00 am",-0.0034239,3,0
"Aug 15, 04:00 am",-0.0034239,4,0
"Aug 15, 05:00 am",-0.0034239,5,41
"Aug 15, 06:00 am",1.86231,6,118
"Aug 15, 07:00 am",0.376224,7,129
